Norman SusDat ID	SMILES	MS_Ready_SMILES	selected
NS00010575	C(\C=C/CC)\C=C/C\C=C/C\C=C/CCCCC(=O)O	C(/C=C\CC)/C=C\C/C=C\C/C=C\CCCCC(=O)O	no
NS00010576	C1=C(C(=CC=C1)C(O)=O)C(OCC(CCCC)CC)=O	c1c(c(ccc1)C(=O)O)C(=O)OCC(CCCC)CC	no
NS00010577	C(CCCCCCCCCCCCC)CC(OCC(CO)O)=O	C(CCCCCCCCCCCCC)CC(=O)OCC(CO)O	no
NS00010578	C(N1CC(OC(C1)C)C)CCCCCCCCCCC	C(N1CC(OC(C1)C)C)CCCCCCCCCCC	no
NS00010579	FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	no
NS00010581	C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]	c1c(cc(c(c1N(=O)=O)O)N(=O)=O)N(=O)=O	no
NS00010582	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Ca+2]	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	no
NS00010583	CCCCCCCCC(C(CCCCCCCC(=O)O)O)O	CCCCCCCCC(C(CCCCCCCC(=O)O)O)O	no
NS00010584	CCCCCCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCCCCCC(=O)O	no
NS00010587	[O-]S(=O)(=O)OCCCCCCCCCCCC	OS(=O)(=O)OCCCCCCCCCCCC	no
NS00010589	CC1=C(C(=CC=C1)C)NCCNCC(COC2=CC=CC3=C2C=NN3)O	Cc1c(c(ccc1)C)NCCNCC(COc1cccc2c1cn[nH]2)O	no
NS00010590	CCCCCCC1CCC(C1CCCCCCC(=O)O)O	CCCCCCC1CCC(C1CCCCCCC(=O)O)O	no
NS00010591	CCCCCCCCCCCC(=O)N(CCO)CCO	CCCCCCCCCCCC(=O)N(CCO)CCO	no
NS00010592	CCCCCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCCCCC(=O)O	no
NS00010593	CN(C)CCCNC(=O)C(C)=C	CN(C)CCCNC(=O)C(=C)C	no
NS00010594	C1CCC(CC1)NC(=O)NC2CCCCC2	C1CCC(CC1)NC(=O)NC1CCCCC1	no
NS00010595	CC(C)OC(=O)NNc1cc(ccc1OC)c2ccccc2	CC(C)OC(=O)NNc1cc(ccc1OC)c1ccccc1	no
NS00010596	C#CCOC[C@@H]1CO[C@@](O1)(Cn2ccnc2)c3ccc(cc3Cl)Cl	C#CCOCC1COC(O1)(Cn1ccnc1)c1ccc(cc1Cl)Cl	no
NS00010597	COC(=O)Nc1[nH]c2ccc(cc2n1)S(=O)c3ccccc3 	COC(=O)Nc1[nH]c2ccc(cc2n1)S(=O)c1ccccc1	no
NS00010598	CCn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)O	CCn1cc(c(=O)c2c1cc1c(c2)OCO1)C(=O)O	no
NS00010599	CC1=C(CCCO1)C(=O)Nc2ccccc2	CC1=C(CCCO1)C(=O)Nc1ccccc1	no
NS00010601	CN(C)c1ccc(cc1)C(c2ccccc2)c3ccc(cc3)N(C)C	CN(C)c1ccc(cc1)C(c1ccccc1)c1ccc(cc1)N(C)C	no
NS00010604	COc1cnc(nc1)NS(=O)(=O)c2ccc(cc2)N	COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N	no
NS00010606	CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC	CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC	no
NS00010608	Nc1ccc(C(O)=O)c(O)c1	Nc1ccc(C(=O)O)c(O)c1	no
NS00010611	FC(C(F)(F)F)C(F)(F)F	FC(C(F)(F)F)C(F)(F)F	no
NS00010612	FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	no
NS00010613	CCN(CC)c1ccc(cc1)[C+](c2ccc(cc2)N(CC)CC)c3ccc(cc3)N(CC)CC.CC(=O)[O-]	CCN(CC)c1ccc(cc1)C(c1ccc(cc1)N(CC)CC)c1ccc(cc1)N(CC)CC	no
NS00010614	NC(N)=N\N=C(\C#N)c1cccc(Cl)c1Cl	NC(=N/N=C(/C#N)\c1cccc(Cl)c1Cl)N	no
NS00010615	CCCCC(CCC)(CCCC)S(O)(=O)=O	CCCCC(CCC)(CCCC)S(=O)(=O)O	no
NS00010616	CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCn2c1nc(C)c(CCN1CCC(CC1)c1noc3cc(F)ccc13)c2=O	CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(CC1)c1noc3cc(F)ccc13)c2=O	no
NS00010617	C=CCOc1nc(OCC=C)nc(OCC=C)n1	C=CCOc1nc(OCC=C)nc(OCC=C)n1	no
NS00010619	O=c1c2ccccc2[nH]c2cc3c(cc12)[nH]c1ccccc1c3=O	O=c1c2ccccc2[nH]c2cc3c(cc12)[nH]c1ccccc1c3=O	no
NS00010620	CC(O)COc1ccc(cc1)C(C)(C)c1ccc(OCC(C)O)cc1	CC(O)COc1ccc(cc1)C(C)(C)c1ccc(OCC(C)O)cc1	no
NS00010621	CC(Cl)COP(=O)(OCC(C)Cl)OC(C)CCl	CC(Cl)COP(=O)(OCC(C)Cl)OC(C)CCl	no
NS00010622	CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C	CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C	no
NS00010624	CCC(C)(C)c1cc(c(O)c(c1)C(C)(C)CC)-n1nc2ccccc2n1	CCC(C)(C)c1cc(c(O)c(c1)C(C)(C)CC)n1nc2ccccc2n1	no
NS00010625	CC(C)CCCCCCCOCCC#N	CC(C)CCCCCCCOCCC#N	no
NS00010627	Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	no
NS00010628	Nc1cccc2c(N)cccc12	Nc1cccc2c(N)cccc12	no
NS00010629	Nc1cccc2cccc(N)c12	Nc1cccc2cccc(N)c12	no
